txn_id,user_id,timestamp,txn_amount,category,transaction_hour,is_weekend,hour_sin,hour_cos,txn_count_today,daily_total_spent,remaining_daily_capacity,txn_count_prev_7d,avg_spend_last_7days,spending_velocity_ratio,income_tier,user_tenure_days,is_new_user,pressure_score,monthly_savings_so_far,user_savings_streak,days_since_last_txn,clean_number_tier,rounded_amount,roundup_amount
TXN_00000025,USR_0001,2024-10-05 10:43:54,662,shopping,10,1,0.5,-0.866,1,0.0,600.0,11,379.73,1.7434,Low,262,0,0.0375,210,0,3,3,700,38
TXN_00000027,USR_0001,2024-10-05 13:02:08,219,ride_sharing,13,1,-0.2588,-0.9659,3,1366.0,-766.0,11,379.73,0.5767,Low,262,0,0.95,294,0,0,3,250,31
TXN_00000026,USR_0001,2024-10-05 13:36:23,704,food_delivery,13,1,-0.2588,-0.9659,2,662.0,-62.0,11,379.73,1.854,Low,262,0,0.95,248,0,0,3,750,46
TXN_00000028,USR_0001,2024-10-05 18:14:37,748,ecommerce,18,1,-1.0,-0.0,4,1585.0,-985.0,11,379.73,1.9698,Low,262,0,0.95,325,0,0,3,800,52
TXN_00000029,USR_0001,2024-10-07 18:17:54,596,ride_sharing,18,0,-1.0,-0.0,1,0.0,600.0,11,430.91,1.3831,Low,264,0,0.0033,377,0,2,3,650,54
TXN_00000030,USR_0001,2024-10-07 22:45:30,117,food_delivery,22,0,-0.5,0.866,2,596.0,4.0,11,430.91,0.2715,Low,264,0,0.95,431,0,0,3,150,33
TXN_00000031,USR_0001,2024-10-24 07:01:56,215,food_delivery,7,0,0.9659,-0.2588,1,0.0,600.0,0,450.0,0.4778,Low,281,0,0.0307,464,0,17,3,250,35
TXN_00000032,USR_0001,2024-10-24 07:34:21,135,food_delivery,7,0,0.9659,-0.2588,2,215.0,385.0,0,450.0,0.3,Low,281,0,0.458,499,0,0,3,200,65
TXN_00000033,USR_0001,2024-10-24 16:05:54,275,shopping,16,0,-0.866,-0.5,3,350.0,250.0,0,450.0,0.6111,Low,281,0,0.7663,564,0,0,3,300,25
TXN_00000034,USR_0001,2024-10-24 22:43:56,248,ride_sharing,22,0,-0.5,0.866,4,625.0,-25.0,0,450.0,0.5511,Low,281,0,0.95,589,0,0,3,300,52
TXN_00000035,USR_0001,2024-10-28 07:54:06,714,food_delivery,7,0,0.9659,-0.2588,1,0.0,600.0,4,218.25,3.2715,Low,285,0,0.0021,641,0,4,3,750,36
TXN_00000036,USR_0001,2024-10-28 12:59:04,541,ecommerce,12,0,0.0,-1.0,2,714.0,-114.0,4,218.25,2.4788,Low,285,0,0.95,677,0,0,3,600,59
TXN_00000037,USR_0001,2024-10-28 17:54:05,605,food_delivery,17,0,-0.9659,-0.2588,3,1255.0,-655.0,4,218.25,2.7721,Low,285,0,0.95,736,0,0,3,650,45
TXN_00000038,USR_0001,2024-11-06 18:19:34,389,shopping,18,0,-1.0,-0.0,1,0.0,600.0,0,450.0,0.8644,Low,294,0,0.0228,0,0,9,3,450,61
TXN_00000039,USR_0001,2024-11-08 17:20:11,660,ecommerce,17,0,-0.9659,-0.2588,1,0.0,600.0,1,389.0,1.6967,Low,296,0,0.0227,61,0,2,3,700,40
TXN_00000040,USR_0001,2024-11-16 11:42:41,512,shopping,11,1,0.2588,-0.9659,1,0.0,600.0,0,450.0,1.1378,Low,304,0,0.0256,101,0,8,3,550,38
TXN_00000041,USR_0001,2024-11-16 17:51:51,511,shopping,17,1,-0.9659,-0.2588,2,512.0,88.0,0,450.0,1.1356,Low,304,0,0.95,139,0,0,3,550,39
TXN_00000042,USR_0001,2024-11-16 18:48:28,655,shopping,18,1,-1.0,-0.0,3,1023.0,-423.0,0,450.0,1.4556,Low,304,0,0.95,178,0,0,3,700,45
TXN_00000043,USR_0001,2024-11-16 22:58:43,765,food_delivery,22,1,-0.5,0.866,4,1678.0,-1078.0,0,450.0,1.7,Low,304,0,0.95,223,0,0,3,800,35
TXN_00000044,USR_0002,2024-09-01 06:13:53,627,shopping,6,1,1.0,0.0,1,0.0,600.0,0,450.0,1.3933,Low,188,0,0.0018,0,0,0,3,650,23
TXN_00000045,USR_0002,2024-09-01 08:29:21,476,ecommerce,8,1,0.866,-0.5,2,627.0,-27.0,0,450.0,1.0578,Low,188,0,0.95,23,0,0,3,500,24
TXN_00000046,USR_0002,2024-09-01 13:18:27,531,ride_sharing,13,1,-0.2588,-0.9659,3,1103.0,-503.0,0,450.0,1.18,Low,188,0,0.95,47,0,0,3,600,69
TXN_00000047,USR_0002,2024-09-01 14:40:54,748,shopping,14,1,-0.5,-0.866,4,1634.0,-1034.0,0,450.0,1.6622,Low,188,0,0.95,116,0,0,3,800,52
TXN_00000048,USR_0002,2024-09-06 13:55:48,258,ride_sharing,13,0,-0.2588,-0.9659,1,0.0,600.0,4,595.5,0.4332,Low,193,0,0.0207,168,0,5,3,300,42
TXN_00000049,USR_0002,2024-09-06 18:03:31,473,ride_sharing,18,0,-1.0,-0.0,2,258.0,342.0,4,595.5,0.7943,Low,193,0,0.5276,210,0,0,3,500,27
TXN_00000050,USR_0002,2024-09-13 11:32:58,272,ecommerce,11,0,0.2588,-0.9659,1,0.0,600.0,2,365.5,0.7442,Low,200,0,0.0164,237,0,7,3,300,28
TXN_00000051,USR_0002,2024-09-19 06:42:30,500,ecommerce,6,0,1.0,0.0,1,0.0,600.0,1,272.0,1.8382,Low,206,0,0.0004,265,0,6,3,550,50
TXN_00000052,USR_0002,2024-09-19 12:14:45,314,food_delivery,12,0,0.0,-1.0,2,500.0,100.0,1,272.0,1.1544,Low,206,0,0.95,315,0,0,3,350,36
TXN_00000053,USR_0002,2024-09-19 13:19:36,444,shopping,13,0,-0.2588,-0.9659,3,814.0,-214.0,1,272.0,1.6324,Low,206,0,0.95,351,0,0,3,500,56
TXN_00000054,USR_0002,2024-09-19 13:52:43,745,shopping,13,0,-0.2588,-0.9659,4,1258.0,-658.0,1,272.0,2.739,Low,206,0,0.95,407,0,0,3,800,55
TXN_00000055,USR_0002,2024-10-04 15:28:41,576,food_delivery,15,0,-0.7071,-0.7071,1,0.0,600.0,0,450.0,1.28,Low,221,0,0.0221,0,0,15,3,600,24
TXN_00000056,USR_0002,2024-10-04 22:12:31,219,ride_sharing,22,0,-0.5,0.866,2,576.0,24.0,0,450.0,0.4867,Low,221,0,0.95,24,0,0,3,250,31
TXN_00000057,USR_0002,2024-10-14 15:48:42,300,food_delivery,15,0,-0.7071,-0.7071,1,0.0,600.0,0,450.0,0.6667,Low,231,0,0.0153,55,0,10,3,350,50
TXN_00000058,USR_0002,2024-10-14 17:45:17,696,food_delivery,17,0,-0.9659,-0.2588,2,300.0,300.0,0,450.0,1.5467,Low,231,0,0.5997,105,0,0,3,750,54
TXN_00000059,USR_0002,2024-10-14 18:19:28,361,ecommerce,18,0,-1.0,-0.0,3,996.0,-396.0,0,450.0,0.8022,Low,231,0,0.95,159,0,0,3,400,39
TXN_00000060,USR_0002,2024-10-20 12:53:00,339,shopping,12,1,0.0,-1.0,1,0.0,600.0,3,452.33,0.7494,Low,237,0,0.0306,198,0,6,3,400,61
TXN_00000061,USR_0002,2024-10-20 14:27:24,737,ecommerce,14,1,-0.5,-0.866,2,339.0,261.0,3,452.33,1.6293,Low,237,0,0.6691,259,0,0,3,800,63
TXN_00000062,USR_0002,2024-10-20 19:09:54,197,ecommerce,19,1,-0.9659,0.2588,3,1076.0,-476.0,3,452.33,0.4355,Low,237,0,0.95,322,0,0,3,250,53
TXN_00000063,USR_0002,2024-11-02 08:31:34,220,food_delivery,8,1,0.866,-0.5,1,0.0,600.0,0,450.0,0.4889,Low,250,0,0.0108,0,0,13,3,250,30
TXN_00000064,USR_0002,2024-11-02 15:47:59,180,food_delivery,15,1,-0.7071,-0.7071,2,220.0,380.0,0,450.0,0.4,Low,250,0,0.4819,30,0,0,3,200,20
TXN_00000065,USR_0002,2024-11-04 15:49:26,480,ecommerce,15,0,-0.7071,-0.7071,1,0.0,600.0,2,200.0,2.4,Low,252,0,0.0099,50,0,2,3,500,20
TXN_00000066,USR_0002,2024-11-04 18:53:57,331,shopping,18,0,-1.0,-0.0,2,480.0,120.0,2,200.0,1.655,Low,252,0,0.8997,70,0,0,3,400,69
TXN_00000067,USR_0002,2024-11-04 19:48:49,340,ride_sharing,19,0,-0.9659,0.2588,3,811.0,-211.0,2,200.0,1.7,Low,252,0,0.95,139,0,0,3,400,60
TXN_00000068,USR_0002,2024-11-12 16:44:09,622,ecommerce,16,0,-0.866,-0.5,1,0.0,600.0,0,450.0,1.3822,Low,260,0,0.0077,199,0,8,3,650,28
TXN_00000069,USR_0002,2024-11-12 18:39:03,776,ecommerce,18,0,-1.0,-0.0,2,622.0,-22.0,0,450.0,1.7244,Low,260,0,0.95,227,0,0,3,800,24
TXN_00000070,USR_0002,2024-11-12 19:38:34,726,ecommerce,19,0,-0.9659,0.2588,3,1398.0,-798.0,0,450.0,1.6133,Low,260,0,0.95,251,0,0,3,750,24
TXN_00000072,USR_0002,2024-11-14 08:17:00,262,ride_sharing,8,0,0.866,-0.5,2,199.0,401.0,3,708.0,0.3701,Low,262,0,0.4378,326,0,0,3,300,38
TXN_00000071,USR_0002,2024-11-14 08:18:52,199,ride_sharing,8,0,0.866,-0.5,1,0.0,600.0,3,708.0,0.2811,Low,262,0,0.0236,275,0,2,3,250,51
TXN_00000073,USR_0002,2024-11-14 11:26:15,137,shopping,11,0,0.2588,-0.9659,3,461.0,139.0,3,708.0,0.1935,Low,262,0,0.95,364,0,0,3,200,63
TXN_00000074,USR_0002,2024-11-14 15:10:51,466,ecommerce,15,0,-0.7071,-0.7071,4,598.0,2.0,3,708.0,0.6582,Low,262,0,0.95,427,0,0,3,500,34
TXN_00000075,USR_0002,2024-11-24 05:29:22,670,ride_sharing,5,1,0.9659,0.2588,1,0.0,600.0,0,450.0,1.4889,Low,272,0,0.0091,461,0,10,3,700,30
TXN_00000076,USR_0002,2024-11-24 07:44:18,556,food_delivery,7,1,0.9659,-0.2588,2,670.0,-70.0,0,450.0,1.2356,Low,272,0,0.95,491,0,0,3,600,44
TXN_00000077,USR_0002,2024-11-24 08:32:36,256,ecommerce,8,1,0.866,-0.5,3,1226.0,-626.0,0,450.0,0.5689,Low,272,0,0.95,535,0,0,3,300,44
TXN_00000078,USR_0002,2024-11-27 10:12:20,359,ecommerce,10,0,0.5,-0.866,1,0.0,600.0,3,494.0,0.7267,Low,275,0,0.0391,579,0,3,3,400,41
TXN_00000079,USR_0002,2024-11-27 18:52:38,466,food_delivery,18,0,-1.0,-0.0,2,359.0,241.0,3,494.0,0.9433,Low,275,0,0.7023,620,0,0,3,500,34
TXN_00000080,USR_0002,2024-11-27 19:35:34,570,food_delivery,19,0,-0.9659,0.2588,3,825.0,-225.0,3,494.0,1.1538,Low,275,0,0.95,654,0,0,3,600,30
TXN_00000081,USR_0002,2024-11-28 11:34:14,437,ride_sharing,11,0,0.2588,-0.9659,1,0.0,600.0,6,479.5,0.9114,Low,276,0,0.0185,684,6,1,3,500,63
TXN_00000082,USR_0002,2024-11-28 14:03:40,131,ecommerce,14,0,-0.5,-0.866,2,437.0,163.0,6,479.5,0.2732,Low,276,0,0.8317,747,0,0,3,200,69
TXN_00000083,USR_0002,2024-11-28 18:06:06,298,ecommerce,18,0,-1.0,-0.0,3,568.0,32.0,6,479.5,0.6215,Low,276,0,0.95,816,0,0,3,350,52
TXN_00000084,USR_0002,2024-11-29 08:43:21,624,ride_sharing,8,0,0.866,-0.5,1,0.0,600.0,9,415.89,1.5004,Low,277,0,0.0264,868,7,1,3,650,26
TXN_00000086,USR_0002,2024-11-29 20:13:03,588,food_delivery,20,0,-0.866,0.5,3,1073.0,-473.0,9,415.89,1.4138,Low,277,0,0.95,945,0,0,3,650,62
TXN_00000085,USR_0002,2024-11-29 20:21:30,449,shopping,20,0,-0.866,0.5,2,624.0,-24.0,9,415.89,1.0796,Low,277,0,0.95,894,0,0,3,500,51
TXN_00000087,USR_0003,2024-09-03 11:04:06,261,ecommerce,11,0,0.2588,-0.9659,1,0.0,600.0,0,450.0,0.58,Low,222,0,0.0085,0,0,0,3,300,39
TXN_00000088,USR_0003,2024-09-03 17:33:33,704,ecommerce,17,0,-0.9659,-0.2588,2,261.0,339.0,0,450.0,1.5644,Low,222,0,0.5398,39,0,0,3,750,46
TXN_00000089,USR_0003,2024-09-03 20:30:24,517,ecommerce,20,0,-0.866,0.5,3,965.0,-365.0,0,450.0,1.1489,Low,222,0,0.95,85,0,0,3,550,33
TXN_00000090,USR_0003,2024-09-08 07:50:21,156,food_delivery,7,1,0.9659,-0.2588,1,0.0,600.0,3,494.0,0.3158,Low,227,0,0.0297,118,0,5,3,200,44
TXN_00000091,USR_0003,2024-09-09 09:34:38,303,ecommerce,9,0,0.7071,-0.7071,1,0.0,600.0,4,409.5,0.7399,Low,228,0,0.0151,162,2,1,3,350,47
TXN_00000092,USR_0003,2024-09-09 11:51:01,636,food_delivery,11,0,0.2588,-0.9659,2,303.0,297.0,4,409.5,1.5531,Low,228,0,0.5956,209,0,0,3,700,64
TXN_00000093,USR_0003,2024-09-09 17:41:50,386,food_delivery,17,0,-0.9659,-0.2588,3,939.0,-339.0,4,409.5,0.9426,Low,228,0,0.95,273,0,0,3,450,64
TXN_00000094,USR_0003,2024-09-12 17:09:57,127,ride_sharing,17,0,-0.9659,-0.2588,1,0.0,600.0,4,370.25,0.343,Low,231,0,0.0332,337,0,3,3,150,23
TXN_00000095,USR_0003,2024-09-18 19:37:02,311,ride_sharing,19,0,-0.9659,0.2588,1,0.0,600.0,1,127.0,2.4488,Low,237,0,0.0028,360,0,6,3,350,39
TXN_00000096,USR_0003,2024-09-24 16:58:33,353,ride_sharing,16,0,-0.866,-0.5,1,0.0,600.0,1,311.0,1.135,Low,243,0,0.0059,399,0,6,3,400,47
TXN_00000097,USR_0003,2024-09-25 08:30:55,393,ride_sharing,8,0,0.866,-0.5,1,0.0,600.0,2,332.0,1.1837,Low,244,0,0.0254,446,6,1,3,450,57
TXN_00000098,USR_0003,2024-09-25 15:52:17,626,shopping,15,0,-0.7071,-0.7071,2,393.0,207.0,2,332.0,1.8855,Low,244,0,0.7808,503,0,0,3,650,24
TXN_00000099,USR_0003,2024-09-25 19:56:17,551,ecommerce,19,0,-0.9659,0.2588,3,1019.0,-419.0,2,332.0,1.6596,Low,244,0,0.95,527,0,0,3,600,49
TXN_00000100,USR_0003,2024-10-08 14:58:52,742,food_delivery,14,0,-0.5,-0.866,1,0.0,600.0,0,450.0,1.6489,Low,257,0,0.0239,0,0,13,3,800,58
TXN_00000101,USR_0003,2024-10-08 17:38:44,308,ecommerce,17,0,-0.9659,-0.2588,2,742.0,-142.0,0,450.0,0.6844,Low,257,0,0.95,58,0,0,3,350,42
TXN_00000102,USR_0003,2024-10-08 21:03:36,199,ride_sharing,21,0,-0.7071,0.7071,3,1050.0,-450.0,0,450.0,0.4422,Low,257,0,0.95,100,0,0,3,250,51
TXN_00000103,USR_0003,2024-10-12 13:59:25,258,ecommerce,13,1,-0.2588,-0.9659,1,0.0,600.0,3,416.33,0.6197,Low,261,0,0.0341,151,0,4,3,300,42
TXN_00000104,USR_0003,2024-10-12 17:22:04,337,food_delivery,17,1,-0.9659,-0.2588,2,258.0,342.0,3,416.33,0.8094,Low,261,0,0.5462,193,0,0,3,400,63
TXN_00000105,USR_0003,2024-10-14 11:55:34,453,shopping,11,0,0.2588,-0.9659,1,0.0,600.0,5,368.8,1.2283,Low,263,0,0.0108,256,0,2,3,500,47
TXN_00000106,USR_0003,2024-10-14 17:06:44,399,shopping,17,0,-0.9659,-0.2588,2,453.0,147.0,5,368.8,1.0819,Low,263,0,0.8806,303,0,0,3,450,51
TXN_00000107,USR_0003,2024-10-18 16:24:47,597,shopping,16,0,-0.866,-0.5,1,0.0,600.0,4,361.75,1.6503,Low,267,0,0.0242,354,0,4,3,650,53
TXN_00000108,USR_0003,2024-10-18 17:18:22,227,ride_sharing,17,0,-0.9659,-0.2588,2,597.0,3.0,4,361.75,0.6275,Low,267,0,0.95,407,0,0,3,250,23
TXN_00000109,USR_0003,2024-10-18 17:56:42,359,ride_sharing,17,0,-0.9659,-0.2588,3,824.0,-224.0,4,361.75,0.9924,Low,267,0,0.95,430,0,0,3,400,41
TXN_00000110,USR_0003,2024-10-18 18:09:41,427,food_delivery,18,0,-1.0,-0.0,4,1183.0,-583.0,4,361.75,1.1804,Low,267,0,0.95,471,0,0,3,450,23
TXN_00000111,USR_0003,2024-10-19 19:10:39,359,shopping,19,1,-0.9659,0.2588,1,0.0,600.0,8,382.12,0.9395,Low,268,0,0.035,494,6,1,3,400,41
TXN_00000112,USR_0003,2024-10-21 08:10:12,284,ecommerce,8,0,0.866,-0.5,1,0.0,600.0,7,403.0,0.7047,Low,270,0,0.0166,535,0,2,3,350,66
TXN_00000113,USR_0003,2024-10-21 14:55:34,671,food_delivery,14,0,-0.5,-0.866,2,284.0,316.0,7,403.0,1.665,Low,270,0,0.5693,601,0,0,3,700,29
TXN_00000114,USR_0003,2024-10-21 18:54:42,649,shopping,18,0,-1.0,-0.0,3,955.0,-355.0,7,403.0,1.6104,Low,270,0,0.95,630,0,0,3,700,51
TXN_00000115,USR_0003,2024-10-23 14:54:11,370,shopping,14,0,-0.5,-0.866,1,0.0,600.0,8,446.62,0.8284,Low,272,0,0.0336,681,0,2,3,400,30
TXN_00000116,USR_0003,2024-11-04 10:54:11,514,shopping,10,0,0.5,-0.866,1,0.0,600.0,0,450.0,1.1422,Low,284,0,0.0162,0,0,12,3,550,36
TXN_00000117,USR_0003,2024-11-04 15:11:12,660,ecommerce,15,0,-0.7071,-0.7071,2,514.0,86.0,0,450.0,1.4667,Low,284,0,0.95,36,0,0,3,700,40
TXN_00000118,USR_0003,2024-11-04 19:29:38,280,ride_sharing,19,0,-0.9659,0.2588,3,1174.0,-574.0,0,450.0,0.6222,Low,284,0,0.95,76,0,0,3,300,20
TXN_00000119,USR_0003,2024-11-04 20:12:21,518,ecommerce,20,0,-0.866,0.5,4,1454.0,-854.0,0,450.0,1.1511,Low,284,0,0.95,96,0,0,3,550,32
TXN_00000120,USR_0003,2024-11-21 11:31:44,249,shopping,11,0,0.2588,-0.9659,1,0.0,600.0,0,450.0,0.5533,Low,301,0,0.0051,128,0,17,3,300,51
TXN_00000121,USR_0003,2024-11-23 17:00:45,469,ecommerce,17,1,-0.9659,-0.2588,1,0.0,600.0,1,249.0,1.8835,Low,303,0,0.0302,179,0,2,3,500,31
TXN_00000122,USR_0003,2024-11-23 22:55:34,588,ecommerce,22,1,-0.5,0.866,2,469.0,131.0,1,249.0,2.3614,Low,303,0,0.8785,210,0,0,3,650,62
TXN_00000123,USR_0004,2024-09-01 06:05:01,272,food_delivery,6,1,1.0,0.0,1,0.0,600.0,0,450.0,0.6044,Low,119,0,0.0127,0,0,0,3,300,28
TXN_00000124,USR_0004,2024-09-01 08:39:06,666,ecommerce,8,1,0.866,-0.5,2,272.0,328.0,0,450.0,1.48,Low,119,0,0.5661,28,0,0,3,700,34
TXN_00000125,USR_0004,2024-09-01 23:49:55,766,ecommerce,23,1,-0.2588,0.9659,3,938.0,-338.0,0,450.0,1.7022,Low,119,0,0.95,62,0,0,3,800,34
TXN_00000126,USR_0004,2024-09-09 06:48:18,618,food_delivery,6,0,1.0,0.0,1,0.0,600.0,0,450.0,1.3733,Low,127,0,0.0319,96,0,8,3,650,32
TXN_00000127,USR_0004,2024-09-09 13:22:45,598,food_delivery,13,0,-0.2588,-0.9659,2,618.0,-18.0,0,450.0,1.3289,Low,127,0,0.95,128,0,0,3,650,52
TXN_00000128,USR_0004,2024-09-09 14:17:16,118,ride_sharing,14,0,-0.5,-0.866,3,1216.0,-616.0,0,450.0,0.2622,Low,127,0,0.95,180,0,0,3,150,32
TXN_00000129,USR_0004,2024-09-09 23:22:18,680,shopping,23,0,-0.2588,0.9659,4,1334.0,-734.0,0,450.0,1.5111,Low,127,0,0.95,212,0,0,3,700,20
TXN_00000130,USR_0004,2024-09-25 07:57:19,519,shopping,7,0,0.9659,-0.2588,1,0.0,600.0,0,450.0,1.1533,Low,143,0,0.0278,232,0,16,3,550,31
TXN_00000131,USR_0004,2024-09-25 17:29:52,663,ride_sharing,17,0,-0.9659,-0.2588,2,519.0,81.0,0,450.0,1.4733,Low,143,0,0.95,263,0,0,3,700,37
TXN_00000132,USR_0004,2024-09-25 20:40:19,463,ride_sharing,20,0,-0.866,0.5,3,1182.0,-582.0,0,450.0,1.0289,Low,143,0,0.95,300,0,0,3,500,37
TXN_00000133,USR_0004,2024-10-08 11:54:12,709,ecommerce,11,0,0.2588,-0.9659,1,0.0,600.0,0,450.0,1.5756,Low,156,0,0.0324,0,0,13,3,750,41
TXN_00000134,USR_0004,2024-10-08 19:25:32,319,ride_sharing,19,0,-0.9659,0.2588,2,709.0,-109.0,0,450.0,0.7089,Low,156,0,0.95,41,0,0,3,350,31
TXN_00000135,USR_0004,2024-10-09 11:25:09,585,food_delivery,11,0,0.2588,-0.9659,1,0.0,600.0,2,514.0,1.1381,Low,157,0,0.0369,72,3,1,3,650,65
TXN_00000136,USR_0004,2024-10-09 17:01:48,578,ride_sharing,17,0,-0.9659,-0.2588,2,585.0,15.0,2,514.0,1.1245,Low,157,0,0.95,137,0,0,3,600,22
TXN_00000137,USR_0004,2024-10-09 19:59:03,500,food_delivery,19,0,-0.9659,0.2588,3,1163.0,-563.0,2,514.0,0.9728,Low,157,0,0.95,159,0,0,3,550,50
TXN_00000138,USR_0004,2024-10-11 07:30:23,200,food_delivery,7,0,0.9659,-0.2588,1,0.0,600.0,5,538.2,0.3716,Low,159,0,0.0293,209,0,2,3,250,50
TXN_00000139,USR_0004,2024-10-11 12:13:33,700,food_delivery,12,0,0.0,-1.0,2,200.0,400.0,5,538.2,1.3006,Low,159,0,0.4599,259,0,0,3,750,50
TXN_00000140,USR_0004,2024-10-11 18:15:30,612,ecommerce,18,0,-1.0,-0.0,3,900.0,-300.0,5,538.2,1.1371,Low,159,0,0.95,309,0,0,3,650,38
TXN_00000141,USR_0004,2024-10-14 17:35:46,280,food_delivery,17,0,-0.9659,-0.2588,1,0.0,600.0,8,525.38,0.533,Low,162,0,0.0057,347,0,3,3,300,20
TXN_00000142,USR_0004,2024-10-17 08:18:22,754,shopping,8,0,0.866,-0.5,1,0.0,600.0,4,448.0,1.683,Low,165,0,0.0156,367,0,3,3,800,46
TXN_00000143,USR_0004,2024-10-17 12:05:33,267,ride_sharing,12,0,0.0,-1.0,2,754.0,-154.0,4,448.0,0.596,Low,165,0,0.95,413,0,0,3,300,33
TXN_00000145,USR_0004,2024-10-17 19:26:59,337,shopping,19,0,-0.9659,0.2588,4,1420.0,-820.0,4,448.0,0.7522,Low,165,0,0.95,497,0,0,3,400,63
